amfi_code,Tracking Error
100016,0.19641644012403175
100025,0.13644549287362784
100033,0.2297551098545287
101206,0.19146863819697824
101207,0.2916999439531875
101208,0.12860149861648817
102885,0.1819256550225138
102886,0.2268889829315837
102887,0.20015214792296357
118632,0.18806323287107515
118633,0.1889792452699148
118634,0.2827858263361039
118635,0.18403823855443657
118636,0.1357435518460494
119092,0.19148904585183743
119093,0.19075894372876365
119094,0.2370710907370954
119095,0.28098017915192963
119120,0.13316665157240587
119551,0.19311962181514383
119552,0.19142791209304316
119598,0.27803293056948225
119599,0.280273404219026
120503,0.1896590193077161
120504,0.19137581549582713
120505,0.23312357538323944
120506,0.1953810190006645
120507,0.12891203253670383
120841,0.1824938534083559
120842,0.2203571856061386
120843,0.20514776699717427
120844,0.12878471680551148
125497,0.19558883044029257
125498,0.22550130953132763
148567,0.19399579209820508
148568,0.2008999880482114
148569,0.21938892755969006
149322,0.1914896531862072
149323,0.21893853284063108
149324,0.2717887721093627
